               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.067745,             0.21522,           0.0033379,             0.98492,             0.47306,             0.49286,             0.30239,            0.061978,             0.13424,            0.002711,           0.0072003,           0.0072003,           0.0072003
                 115,             0.06516,             0.20498,           0.0032027,             0.98387,             0.47342,             0.49358,              0.3094,            0.063428,             0.13317,           0.0033083,           0.0071566,           0.0071566,           0.0071566
                 116,            0.062907,             0.19727,           0.0032035,             0.98648,             0.47113,             0.49621,             0.31424,            0.061022,             0.13108,           0.0033139,           0.0071127,           0.0071127,           0.0071127
                 117,            0.064917,              0.2042,           0.0033028,             0.98186,             0.47344,             0.49493,             0.27934,            0.062333,             0.13562,           0.0029798,           0.0070686,           0.0070686,           0.0070686
                 118,            0.062437,             0.20674,           0.0030169,             0.97482,              0.4796,             0.49583,             0.30463,            0.058563,             0.13176,           0.0027009,           0.0070243,           0.0070243,           0.0070243
                 119,            0.063153,             0.19561,           0.0032846,              0.9761,             0.47575,             0.49548,             0.30213,            0.060571,             0.13577,           0.0028011,           0.0069799,           0.0069799,           0.0069799
                 120,            0.064301,             0.19719,           0.0031155,             0.98057,             0.47609,             0.49584,             0.31665,            0.059502,             0.13078,            0.002499,           0.0069353,           0.0069353,           0.0069353
                 121,            0.065236,             0.20242,           0.0035824,             0.98382,             0.47652,             0.49529,             0.30695,            0.057891,              0.1328,           0.0024831,           0.0068906,           0.0068906,           0.0068906
                 122,            0.064676,              0.2004,           0.0034018,             0.98484,             0.47998,             0.49738,             0.31517,            0.059748,             0.13119,           0.0025336,           0.0068457,           0.0068457,           0.0068457
                 123,            0.063226,             0.19861,           0.0030312,             0.98512,             0.47729,             0.49693,             0.31147,            0.060761,             0.13092,           0.0024987,           0.0068006,           0.0068006,           0.0068006
                 124,            0.061289,             0.19684,           0.0030705,             0.98692,             0.47537,             0.49706,             0.31216,             0.05964,             0.13339,           0.0025461,           0.0067555,           0.0067555,           0.0067555
                 125,            0.065491,             0.20948,           0.0034362,             0.98466,             0.47435,             0.49481,             0.31294,            0.058885,             0.13181,             0.00261,           0.0067101,           0.0067101,           0.0067101
                 126,            0.062672,             0.21527,           0.0028731,             0.98295,             0.47998,             0.49585,             0.30839,              0.0557,             0.13134,           0.0024401,           0.0066647,           0.0066647,           0.0066647
                 127,            0.060513,             0.19461,           0.0030117,             0.98108,             0.47959,             0.49593,             0.32737,            0.056559,             0.12916,           0.0023625,           0.0066191,           0.0066191,           0.0066191
                 128,            0.058754,             0.19126,           0.0032119,             0.98473,             0.47648,             0.49538,             0.31834,            0.057852,             0.13101,           0.0023628,           0.0065734,           0.0065734,           0.0065734
                 129,            0.064678,             0.21086,           0.0037935,             0.98292,             0.47881,             0.49594,              0.3228,            0.054002,             0.12917,           0.0023916,           0.0065276,           0.0065276,           0.0065276
                 130,            0.059434,             0.19241,           0.0041237,             0.98337,             0.48114,             0.49556,             0.31304,            0.056019,             0.13371,           0.0024188,           0.0064816,           0.0064816,           0.0064816
                 131,            0.059491,             0.19343,           0.0033344,             0.98433,             0.47768,             0.49544,             0.32786,            0.055781,             0.12703,           0.0023432,           0.0064356,           0.0064356,           0.0064356
                 132,            0.057614,             0.19429,           0.0036225,             0.98329,             0.47857,             0.49666,             0.32358,            0.053243,              0.1274,           0.0023736,           0.0063895,           0.0063895,           0.0063895
                 133,            0.056536,             0.19896,           0.0032833,             0.98139,             0.47803,             0.49649,             0.32775,            0.056267,              0.1279,           0.0024882,           0.0063432,           0.0063432,           0.0063432
                 134,            0.061302,             0.20025,           0.0029896,             0.98398,             0.47883,             0.49545,             0.32221,            0.055882,             0.12969,           0.0024638,           0.0062969,           0.0062969,           0.0062969
                 135,            0.057367,              0.1978,           0.0031875,             0.98516,             0.47921,             0.49611,             0.32611,            0.055901,             0.12715,           0.0024217,           0.0062505,           0.0062505,           0.0062505
                 136,            0.058457,             0.19303,           0.0026807,             0.98479,              0.4784,             0.49759,             0.32212,            0.057026,             0.12877,           0.0023956,            0.006204,            0.006204,            0.006204
                 137,            0.060718,             0.19606,           0.0034092,             0.98433,             0.47575,              0.4968,              0.3262,            0.055974,             0.12855,           0.0023168,           0.0061574,           0.0061574,           0.0061574
                 138,            0.060471,             0.20731,           0.0032953,             0.98437,             0.47729,             0.49582,             0.32254,            0.057329,             0.12926,           0.0023245,           0.0061107,           0.0061107,           0.0061107
                 139,            0.059881,             0.19777,           0.0035165,             0.98254,             0.47873,             0.49716,             0.32905,            0.054385,             0.12712,           0.0023497,            0.006064,            0.006064,            0.006064
                 140,            0.057066,              0.1915,           0.0031144,             0.98147,             0.48037,             0.49739,             0.33085,             0.05487,             0.12673,           0.0022894,           0.0060172,           0.0060172,           0.0060172
                 141,            0.059673,             0.19827,           0.0031277,             0.98293,             0.47917,             0.49725,             0.32817,            0.056087,             0.12734,           0.0023008,           0.0059704,           0.0059704,           0.0059704
                 142,            0.060453,             0.20926,           0.0036157,              0.9848,             0.47921,             0.49738,             0.32173,            0.056485,             0.12844,           0.0023006,           0.0059235,           0.0059235,           0.0059235
